Freq_Hz,V_out_dB,V_out_phase_deg
1.00000000000000e+03,2.08388638357908e+01,-1.66704563975261e-01
1.25892541179417e+03,2.08388446298731e+01,-2.09868320985646e-01
1.58489319246111e+03,2.08388141907175e+01,-2.64207982071643e-01
1.99526231496888e+03,2.08387659483409e+01,-3.32616984695371e-01
2.51188643150958e+03,2.08386894904165e+01,-4.18737664085973e-01
3.16227766016838e+03,2.08385683155101e+01,-5.27154876581451e-01
3.98107170553497e+03,2.08383762731015e+01,-6.63639473091551e-01
5.01187233627273e+03,2.08380719236649e+01,-8.35454247794596e-01
6.30957344480193e+03,2.08375896056870e+01,-1.05173797553609e+00
7.94328234724282e+03,2.08368252921275e+01,-1.32398663510902e+00
1.00000000000000e+04,2.08356142102629e+01,-1.66665474772856e+00
1.25892541179417e+04,2.08336954614341e+01,-2.09790348576024e+00
1.58489319246111e+04,2.08306561724458e+01,-2.64052472392090e+00
1.99526231496888e+04,2.08258435454568e+01,-3.32306909684357e+00
2.51188643150958e+04,2.08182268750125e+01,-4.18119638229532e+00
3.16227766016838e+04,2.08061823662210e+01,-5.25923817908099e+00
3.98107170553498e+04,2.07871607775694e+01,-6.61189685112430e+00
5.01187233627273e+04,2.07571819937137e+01,-8.30586658927948e+00
6.30957344480194e+04,2.07100856563610e+01,-1.04208949789792e+01
7.94328234724282e+04,2.06364661548574e+01,-1.30493268056709e+01
1.00000000000000e+05,2.05222663723966e+01,-1.62924198874601e+01
1.25892541179417e+05,2.03471627225013e+01,-2.02507876249544e+01
1.58489319246112e+05,2.00832357939524e+01,-2.50058190308907e+01
1.99526231496888e+05,1.96950142751463e+01,-3.05905328146475e+01
2.51188643150958e+05,1.91425045705102e+01,-3.69546284278361e+01
3.16227766016838e+05,1.83883529220946e+01,-4.39398528832873e+01
3.98107170553498e+05,1.74078199295928e+01,-5.12897629801049e+01
5.01187233627273e+05,1.61967773012513e+01,-5.87062294502836e+01
6.30957344480194e+05,1.47724001605263e+01,-6.59321886496879e+01
7.94328234724283e+05,1.31657944933658e+01,-7.28173386032665e+01
1.00000000000000e+06,1.14111278583108e+01,-7.93382980277717e+01
1.25892541179417e+06,9.53649805965346e+00,-8.55784101881425e+01
1.58489319246112e+06,7.55861713149065e+00,-9.16892941601793e+01
1.99526231496888e+06,5.48061266583672e+00,-9.78504546616047e+01
2.51188643150959e+06,3.29169774765567e+00,-1.04230805900303e+02
3.16227766016839e+06,9.68418158764046e-01,-1.10949262649249e+02
3.98107170553498e+06,-1.52159200724994e+00,-1.18034190814759e+02
4.00000000000000e+06,-1.57488610848889e+00,-1.18183558078573e+02
